RSTR_ID,MENU_NM,MENU_DSCRN,MENU_CTGRY_LCLAS_NM,MENU_CTGRY_SCLAS_NM,RSTR_NM,AREA_NM,MENU_PRICE,RSTR_RDNMADR,RSTR_LNNO_ADRES,BSNS_STATM_BZCND_NM,BSNS_LCNC_NM,RSTR_INTRCN_CONT,PRDL_SEAT_CNT,SEAT_CNT,PRKG_POS_YN,WIFI_OFR_YN,DCRN_YN,PET_ENTRN_POSBL_YN,FGGG_MENU_OFR_YN,TLROM_INFO_CN,RESTDY_INFO_CN,BSNS_TM_CN,HMDLV_SALE_YN,DSBR_CVNTL_YN,DELV_SRVIC_YN,CRCMF_LDMARK_NM,CRCMF_LDMARK_DIST,MB_PMAMT_YN,REPRSNT_MENU_NM,AWARD_INFO_DSCRN,ONLINE_CONV_PRGS_YN,NAVER_GRAD
1241,생갈비(1인분/180g),소갈비,한식,갈비,해운대암소갈비집,부산광역시 해운대구,48000.0,부산광역시 해운대구 중동2로10번길 32-10,부산광역시 해운대구 중동 1225-1,한식,일반음식점,"2021년 05월 14일 TV조선 식객허영만의백반기행 103회, 2020년 03월 17일 KBS2 2TV생생정보 1026회, 2020년 02월 20일 KBS2 2TV생생정보 1008회, 2015년 09월 30일 tvN 수요미식회 36회 등 여러 방송에서 다룬 바로 그 곳! 부산광역시 해운대구 인기 맛집 ""해운대암소갈비집""을 방문해보세요! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 이 매장은 블루리본 서베이에서 리본 2개를 받아, ""주위 사람들에게도 추천하고 싶은 곳""이라는 좋은 평가를 받았습니다. 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 50년 이상의 전통을 자랑합니다. 레드테이블에서 온라인 예약이 가능합니다!",,,N,N,N,N,Y,N,,,N,N,N,,,N,"양념갈비,생갈비,불고기","모범음식점(행정안전부),안심식당(농림축산식품부)",Y,4.2399998
1346,모듬(특大),"야채,우럭",한식,모둠,우리횟집,부산광역시 서구,120000.0,부산광역시 서구 송도해변로 159,부산광역시 서구 암남동 124-28,회집,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 부산광역시 서구 맛집, ""우리횟집""을 추천합니다! 50년 이상의 전통을 자랑합니다.",,,N,N,N,N,Y,N,,,N,N,Y,송도해상케이블카,53.72865,N,,,Y,4.29
1347,A 코스(1人),"생선,생선회",한식,코스,남포횟집,부산광역시 서구,33000.0,부산광역시 서구 송도해변로 83,부산광역시 서구 암남동 355-15,한식,일반음식점,"부산광역시 서구에서 맛집을 찾으신다면 ""남포횟집""을 추천합니다. 50년 이상의 전통을 자랑합니다.",,,N,N,N,N,Y,N,,매일 11:00~22:00,N,N,N,송도해상케이블카,610.249666,N,,,Y,4.4200001
1348,아메리카노,"에스프레소,물",음료류,아메리카노,그숲,부산광역시 서구,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1349,광어(大),"생선회,광어",한식,광어,청기와횟집,부산광역시 서구,120000.0,부산광역시 서구 송도해변로 149-1,부산광역시 서구 암남동 124-31,회집,일반음식점,"부산광역시 서구에서 가 볼 만한 식당을 찾으신다면? ""청기와횟집""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 50년 이상의 전통을 자랑합니다.",,,N,N,N,N,Y,N,화요일,매일 11:00~22:00,N,N,N,송도해상케이블카,73.368192,N,,안심식당(농림축산식품부),Y,4.2399998
1615,짜장,"야채,돼지고기,면",중식,짜장,대동반점,부산광역시 서구,3500.0,부산광역시 서구 충무대로 151,부산광역시 서구 남부민동 679-14,중국식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 부산광역시 서구 맛집, ""대동반점""을 추천합니다! 50년 이상의 전통을 자랑합니다.",,,N,N,N,N,Y,N,,,N,N,N,부산공동어시장,664.41797,N,,,Y,3.9200001
1629,S size,주꾸미,한식,쭈꾸미,불쭈왕,부산광역시 사하구,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1630,모듬회 (소),"생선,생선회",한식,모둠회,다대횟집,부산광역시 사하구,50000.0,부산광역시 사하구 몰운대2길 7,부산광역시 사하구 다대동 468-7,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 부산광역시 사하구에 계시다면 ""다대횟집""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다. 50년 이상의 전통을 자랑합니다.",,,N,N,N,N,Y,N,,,N,N,N,다대포 해수욕장,86.596294,N,,안심식당(농림축산식품부),Y,4.3800001
1631,해물칼국수,"야채,해산물,면",한식,칼국수,포항횟집,부산광역시 사하구,7000.0,부산광역시 사하구 몰운대1길 31,부산광역시 사하구 다대동 468-5,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 부산광역시 사하구 맛집, ""포항횟집""을 추천합니다! 50년 이상의 전통을 자랑합니다.",,,N,N,N,N,Y,N,,,N,N,N,다대포 해수욕장,73.546175,N,,,Y,4.1900001
1632,아메리카노,"에스프레소,물",음료류,아메리카노,오드이븐,부산광역시 사하구,4000.0,,,,,,,,,,,,,,,,,,,,,,,,,
